# SOURCE: Instituto Nacional de Estadistica (INE), official register.
# TITLE:  Relación de municipios y códigos por comunidades autónomas y provincias a 1 de enero de 2026
# URL:    https://www.ine.es/daco/daco42/codmun/diccionario26.xlsx
# INE Last-Modified: Fri, 13 Mar 2026 06:35:44 GMT
# sha256: 07f8e8d64eba73fe9d425196fe82f4e09a9886a287abd650e88ca8d98dd49052
# GENERATED: 2026-08-04T02:15:21Z by scripts/build-ine-gazetteer.py -- DO NOT HAND-EDIT.
# LANDING PAGE: https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177031
# CONTENT: one row per municipality -- the primary official denomination.
#          Municipalities ONLY; this register contains no pedanias or
#          sub-municipal entities. `ine` is the 5-digit CPRO+CMUN code.

ine,municipio,provincia,nombre_ine
02072,Socovos,Albacete,Socovos
02073,Tarazona de la Mancha,Albacete,Tarazona de la Mancha
02074,Tobarra,Albacete,Tobarra
02075,Valdeganga,Albacete,Valdeganga
02076,Vianos,Albacete,Vianos
02077,Villa de Ves,Albacete,Villa de Ves
02078,Villalgordo del Júcar,Albacete,Villalgordo del Júcar
02079,Villamalea,Albacete,Villamalea
02080,Villapalacios,Albacete,Villapalacios
02081,Villarrobledo,Albacete,Villarrobledo
02082,Villatoya,Albacete,Villatoya
02083,Villavaliente,Albacete,Villavaliente
02084,Villaverde de Guadalimar,Albacete,Villaverde de Guadalimar
02085,Viveros,Albacete,Viveros
02086,Yeste,Albacete,Yeste
03002,Agost,Alicante,Agost
03003,Agres,Alicante,Agres
03004,Aigües,Alicante,Aigües
03014,Alacant,Alicante,Alacant/Alicante
03005,Albatera,Alicante,Albatera
03006,Alcalalí,Alicante,Alcalalí
03009,Alcoi,Alicante,Alcoi/Alcoy
03008,Alcoleja,Alicante,Alcoleja
03007,Alcosser,Alicante,Alcosser
03010,Alfafara,Alicante,Alfafara
03011,l'Alfàs del Pi,Alicante,"Alfàs del Pi, l'"
03012,Algorfa,Alicante,Algorfa
03013,Algueña,Alicante,Algueña
03015,Almoradí,Alicante,Almoradí
03016,Almudaina,Alicante,Almudaina
03017,l'Alqueria d'Asnar,Alicante,"Alqueria d'Asnar, l'"
03018,Altea,Alicante,Altea
03019,Aspe,Alicante,Aspe
03001,l'Atzúbia,Alicante,"Atzúbia, l'"
03020,Balones,Alicante,Balones
03021,Banyeres de Mariola,Alicante,Banyeres de Mariola
03022,Benasau,Alicante,Benasau
03023,Beneixama,Alicante,Beneixama
03024,Benejúzar,Alicante,Benejúzar
03025,Benferri,Alicante,Benferri
03026,Beniarbeig,Alicante,Beniarbeig
03027,Beniardà,Alicante,Beniardà
03028,Beniarrés,Alicante,Beniarrés
03030,Benidoleig,Alicante,Benidoleig
03031,Benidorm,Alicante,Benidorm
03032,Benifallim,Alicante,Benifallim
03033,Benifato,Alicante,Benifato
03029,Benigembla,Alicante,Benigembla
03034,Benijófar,Alicante,Benijófar
03035,Benilloba,Alicante,Benilloba
03036,Benillup,Alicante,Benillup
03037,Benimantell,Alicante,Benimantell
03038,Benimarfull,Alicante,Benimarfull
03039,Benimassot,Alicante,Benimassot
03040,Benimeli,Alicante,Benimeli
03041,Benissa,Alicante,Benissa
03043,Biar,Alicante,Biar
03044,Bigastro,Alicante,Bigastro
03045,Bolulla,Alicante,Bolulla
03046,Busot,Alicante,Busot
03049,Callosa de Segura,Alicante,Callosa de Segura
03048,Callosa d'en Sarrià,Alicante,Callosa d'en Sarrià
03047,Calp,Alicante,Calp
03051,el Camp de Mirra,Alicante,"Camp de Mirra, el/Campo de Mirra"
03050,el Campello,Alicante,"Campello, el"
03052,Cañada,Alicante,Cañada
03053,Castalla,Alicante,Castalla
03054,Castell de Castells,Alicante,Castell de Castells
03075,el Castell de Guadalest,Alicante,"Castell de Guadalest, el"
03055,Catral,Alicante,Catral
03056,Cocentaina,Alicante,Cocentaina
03057,Confrides,Alicante,Confrides
03058,Cox,Alicante,Cox
03059,Crevillent,Alicante,Crevillent
03061,Daya Nueva,Alicante,Daya Nueva
03062,Daya Vieja,Alicante,Daya Vieja
03063,Dénia,Alicante,Dénia
03064,Dolores,Alicante,Dolores
03066,Elda,Alicante,Elda
03065,Elx,Alicante,Elx/Elche
03067,Fageca,Alicante,Fageca
03068,Famorca,Alicante,Famorca
03069,Finestrat,Alicante,Finestrat
03077,el Fondó de les Neus,Alicante,"Fondó de les Neus, el/Hondón de las Nieves"
03070,Formentera del Segura,Alicante,Formentera del Segura
03072,Gaianes,Alicante,Gaianes
03071,Gata de Gorgos,Alicante,Gata de Gorgos
03073,Gorga,Alicante,Gorga
03074,Granja de Rocamora,Alicante,Granja de Rocamora
03076,Guardamar del Segura,Alicante,Guardamar del Segura
03078,Hondón de los Frailes,Alicante,Hondón de los Frailes
03079,Ibi,Alicante,Ibi
03080,Jacarilla,Alicante,Jacarilla
03085,Llíber,Alicante,Llíber
03086,Millena,Alicante,Millena
03088,Monforte del Cid,Alicante,Monforte del Cid
03089,Monòver,Alicante,Monòver/Monóvar
03903,Los Montesinos,Alicante,"Montesinos, Los"
03091,Murla,Alicante,Murla
03092,Muro de Alcoy,Alicante,Muro de Alcoy
03090,Mutxamel,Alicante,Mutxamel
03093,Novelda,Alicante,Novelda
03094,la Nucia,Alicante,"Nucia, la"
03095,Ondara,Alicante,Ondara
03096,Onil,Alicante,Onil
03097,Orba,Alicante,Orba
03099,Orihuela,Alicante,Orihuela
03084,l'Orxa,Alicante,"Orxa, l'/Lorcha"
03098,Orxeta,Alicante,Orxeta
03100,Parcent,Alicante,Parcent
03101,Pedreguer,Alicante,Pedreguer
03102,Pego,Alicante,Pego
03103,Penàguila,Alicante,Penàguila
03104,Petrer,Alicante,Petrer
03902,Pilar de la Horadada,Alicante,Pilar de la Horadada
03105,el Pinós,Alicante,"Pinós, el/Pinoso"
03106,Planes,Alicante,Planes
03042,el Poble Nou de Benitatxell,Alicante,"Poble Nou de Benitatxell, el/Benitachell"
03901,els Poblets,Alicante,"Poblets, els"
03107,Polop,Alicante,Polop
03060,Quatretondeta,Alicante,Quatretondeta
03109,Rafal,Alicante,Rafal
03110,el Ràfol d'Almúnia,Alicante,"Ràfol d'Almúnia, el"
03111,Redován,Alicante,Redován
03112,Relleu,Alicante,Relleu
03113,Rojales,Alicante,Rojales
03114,la Romana,Alicante,"Romana, la"
03115,Sagra,Alicante,Sagra
03116,Salinas,Alicante,Salinas
03118,San Fulgencio,Alicante,San Fulgencio
03904,San Isidro,Alicante,San Isidro
03120,San Miguel de Salinas,Alicante,San Miguel de Salinas
03117,Sanet y Negrals,Alicante,Sanet y Negrals
03119,Sant Joan d'Alacant,Alicante,Sant Joan d'Alacant
03122,Sant Vicent del Raspeig,Alicante,Sant Vicent del Raspeig/San Vicente del Raspeig
03121,Santa Pola,Alicante,Santa Pola
03123,Sax,Alicante,Sax
03124,Sella,Alicante,Sella
03125,Senija,Alicante,Senija
03127,Tàrbena,Alicante,Tàrbena
03128,Teulada,Alicante,Teulada
03129,Tibi,Alicante,Tibi
03130,Tollos,Alicante,Tollos
03131,Tormos,Alicante,Tormos
03132,la Torre de les Maçanes,Alicante,"Torre de les Maçanes, la/Torremanzanas"
03133,Torrevieja,Alicante,Torrevieja
03134,la Vall d'Alcalà,Alicante,"Vall d'Alcalà, la"
03136,la Vall de Gallinera,Alicante,"Vall de Gallinera, la"
03137,la Vall de Laguar,Alicante,"Vall de Laguar, la"
03135,la Vall d'Ebo,Alicante,"Vall d'Ebo, la"
03138,el Verger,Alicante,"Verger, el"
03139,la Vila Joiosa,Alicante,"Vila Joiosa, la/Villajoyosa"
03140,Villena,Alicante,Villena
03082,Xàbia,Alicante,Xàbia/Jávea
03081,Xaló,Alicante,Xaló
03083,Xixona,Alicante,Xixona/Jijona
04001,Abla,Almería,Abla
04002,Abrucena,Almería,Abrucena
04003,Adra,Almería,Adra
04004,Albanchez,Almería,Albanchez
04005,Alboloduy,Almería,Alboloduy
04006,Albox,Almería,Albox
04007,Alcolea,Almería,Alcolea
04008,Alcóntar,Almería,Alcóntar
04009,Alcudia de Monteagud,Almería,Alcudia de Monteagud
04010,Alhabia,Almería,Alhabia
04011,Alhama de Almería,Almería,Alhama de Almería
04012,Alicún,Almería,Alicún
04013,Almería,Almería,Almería
04014,Almócita,Almería,Almócita
04015,Alsodux,Almería,Alsodux
04016,Antas,Almería,Antas
04017,Arboleas,Almería,Arboleas
04018,Armuña de Almanzora,Almería,Armuña de Almanzora
04019,Bacares,Almería,Bacares
04904,Balanegra,Almería,Balanegra
04020,Bayárcal,Almería,Bayárcal
04021,Bayarque,Almería,Bayarque
04022,Bédar,Almería,Bédar
04023,Beires,Almería,Beires
04024,Benahadux,Almería,Benahadux
04026,Benitagla,Almería,Benitagla
04027,Benizalón,Almería,Benizalón
04028,Bentarique,Almería,Bentarique
04029,Berja,Almería,Berja
04030,Canjáyar,Almería,Canjáyar
04031,Cantoria,Almería,Cantoria
04032,Carboneras,Almería,Carboneras
04033,Castro de Filabres,Almería,Castro de Filabres
04036,Chercos,Almería,Chercos
04037,Chirivel,Almería,Chirivel
04034,Cóbdar,Almería,Cóbdar
04035,Cuevas del Almanzora,Almería,Cuevas del Almanzora
04038,Dalías,Almería,Dalías
04902,El Ejido,Almería,"Ejido, El"
04041,Enix,Almería,Enix
04043,Felix,Almería,Felix
04044,Fines,Almería,Fines
04045,Fiñana,Almería,Fiñana
04046,Fondón,Almería,Fondón
04047,Gádor,Almería,Gádor
04048,Los Gallardos,Almería,"Gallardos, Los"
04049,Garrucha,Almería,Garrucha
04050,Gérgal,Almería,Gérgal
04051,Huécija,Almería,Huécija
04052,Huércal de Almería,Almería,Huércal de Almería
04053,Huércal-Overa,Almería,Huércal-Overa
04054,Íllar,Almería,Íllar
04055,Instinción,Almería,Instinción
04056,Laroya,Almería,Laroya
04057,Laujar de Andarax,Almería,Laujar de Andarax
04058,Líjar,Almería,Líjar
04059,Lubrín,Almería,Lubrín
04060,Lucainena de las Torres,Almería,Lucainena de las Torres
04061,Lúcar,Almería,Lúcar
04062,Macael,Almería,Macael
04063,María,Almería,María
04064,Mojácar,Almería,Mojácar
04903,La Mojonera,Almería,"Mojonera, La"
04065,Nacimiento,Almería,Nacimiento
04066,Níjar,Almería,Níjar
04067,Ohanes,Almería,Ohanes
04068,Olula de Castro,Almería,Olula de Castro
04069,Olula del Río,Almería,Olula del Río
04070,Oria,Almería,Oria
04071,Padules,Almería,Padules
04072,Partaloa,Almería,Partaloa
04073,Paterna del Río,Almería,Paterna del Río
04074,Pechina,Almería,Pechina
04075,Pulpí,Almería,Pulpí
04076,Purchena,Almería,Purchena
04077,Rágol,Almería,Rágol
04078,Rioja,Almería,Rioja
04079,Roquetas de Mar,Almería,Roquetas de Mar
04080,Santa Cruz de Marchena,Almería,Santa Cruz de Marchena
04081,Santa Fe de Mondújar,Almería,Santa Fe de Mondújar
04082,Senés,Almería,Senés
04083,Serón,Almería,Serón
04084,Sierro,Almería,Sierro
04085,Somontín,Almería,Somontín
04086,Sorbas,Almería,Sorbas
04087,Suflí,Almería,Suflí
04088,Tabernas,Almería,Tabernas
04089,Taberno,Almería,Taberno
04090,Tahal,Almería,Tahal
04091,Terque,Almería,Terque
04092,Tíjola,Almería,Tíjola
04901,Las Tres Villas,Almería,"Tres Villas, Las"
04093,Turre,Almería,Turre
04094,Turrillas,Almería,Turrillas
04095,Uleila del Campo,Almería,Uleila del Campo
04096,Urrácal,Almería,Urrácal
04097,Velefique,Almería,Velefique
04098,Vélez-Blanco,Almería,Vélez-Blanco
04099,Vélez-Rubio,Almería,Vélez-Rubio
04100,Vera,Almería,Vera
04101,Viator,Almería,Viator
04102,Vícar,Almería,Vícar
04103,Zurgena,Almería,Zurgena
05001,Adanero,Ávila,Adanero
05002,La Adrada,Ávila,"Adrada, La"
05005,Albornos,Ávila,Albornos
05007,Aldeanueva de Santa Cruz,Ávila,Aldeanueva de Santa Cruz
05008,Aldeaseca,Ávila,Aldeaseca
05010,La Aldehuela,Ávila,"Aldehuela, La"
05012,Amavida,Ávila,Amavida
05013,El Arenal,Ávila,"Arenal, El"
05014,Arenas de San Pedro,Ávila,Arenas de San Pedro
05015,Arevalillo,Ávila,Arevalillo
05016,Arévalo,Ávila,Arévalo
05017,Aveinte,Ávila,Aveinte
05018,Avellaneda,Ávila,Avellaneda
05019,Ávila,Ávila,Ávila
05021,El Barco de Ávila,Ávila,"Barco de Ávila, El"
05022,El Barraco,Ávila,"Barraco, El"
05023,Barromán,Ávila,Barromán
05024,Becedas,Ávila,Becedas
05025,Becedillas,Ávila,Becedillas
05026,Bercial de Zapardiel,Ávila,Bercial de Zapardiel
05027,Las Berlanas,Ávila,"Berlanas, Las"
05029,Bernuy-Zapardiel,Ávila,Bernuy-Zapardiel
05030,Berrocalejo de Aragona,Ávila,Berrocalejo de Aragona
05033,Blascomillán,Ávila,Blascomillán
05034,Blasconuño de Matacabras,Ávila,Blasconuño de Matacabras
05035,Blascosancho,Ávila,Blascosancho
05036,El Bohodón,Ávila,"Bohodón, El"
05037,Bohoyo,Ávila,Bohoyo
05038,Bonilla de la Sierra,Ávila,Bonilla de la Sierra
05039,Brabos,Ávila,Brabos
05040,Bularros,Ávila,Bularros
05041,Burgohondo,Ávila,Burgohondo
05042,Cabezas de Alambre,Ávila,Cabezas de Alambre
05043,Cabezas del Pozo,Ávila,Cabezas del Pozo
05044,Cabezas del Villar,Ávila,Cabezas del Villar
05045,Cabizuela,Ávila,Cabizuela
05046,Canales,Ávila,Canales
05047,Candeleda,Ávila,Candeleda
05048,Cantiveros,Ávila,Cantiveros
05049,Cardeñosa,Ávila,Cardeñosa
05051,La Carrera,Ávila,"Carrera, La"
05052,Casas del Puerto,Ávila,Casas del Puerto
05053,Casasola,Ávila,Casasola
05054,Casavieja,Ávila,Casavieja
05055,Casillas,Ávila,Casillas
05056,Castellanos de Zapardiel,Ávila,Castellanos de Zapardiel
05057,Cebreros,Ávila,Cebreros
05058,Cepeda la Mora,Ávila,Cepeda la Mora
05067,Chamartín,Ávila,Chamartín
05059,Cillán,Ávila,Cillán
05060,Cisla,Ávila,Cisla
05061,La Colilla,Ávila,"Colilla, La"
05062,Collado de Contreras,Ávila,Collado de Contreras
05063,Collado del Mirón,Ávila,Collado del Mirón
05064,Constanzana,Ávila,Constanzana
05065,Crespos,Ávila,Crespos
05066,Cuevas del Valle,Ávila,Cuevas del Valle
05903,Diego del Carpio,Ávila,Diego del Carpio
05069,Donjimeno,Ávila,Donjimeno
05070,Donvidas,Ávila,Donvidas
05072,Espinosa de los Caballeros,Ávila,Espinosa de los Caballeros
05073,Flores de Ávila,Ávila,Flores de Ávila
05074,Fontiveros,Ávila,Fontiveros
05075,Fresnedilla,Ávila,Fresnedilla
05076,El Fresno,Ávila,"Fresno, El"
05077,Fuente el Saúz,Ávila,Fuente el Saúz
05078,Fuentes de Año,Ávila,Fuentes de Año
05079,Gallegos de Altamiros,Ávila,Gallegos de Altamiros
05080,Gallegos de Sobrinos,Ávila,Gallegos de Sobrinos
05081,Garganta del Villar,Ávila,Garganta del Villar
05082,Gavilanes,Ávila,Gavilanes
05083,Gemuño,Ávila,Gemuño
05085,Gil García,Ávila,Gil García
05084,Gilbuena,Ávila,Gilbuena
05086,Gimialcón,Ávila,Gimialcón
05087,Gotarrendura,Ávila,Gotarrendura
05088,Grandes y San Martín,Ávila,Grandes y San Martín
05089,Guisando,Ávila,Guisando
05090,Gutierre-Muñoz,Ávila,Gutierre-Muñoz
05092,Hernansancho,Ávila,Hernansancho
05093,Herradón de Pinares,Ávila,Herradón de Pinares
05094,Herreros de Suso,Ávila,Herreros de Suso
05095,Higuera de las Dueñas,Ávila,Higuera de las Dueñas
05096,La Hija de Dios,Ávila,"Hija de Dios, La"
05097,La Horcajada,Ávila,"Horcajada, La"
05099,Horcajo de las Torres,Ávila,Horcajo de las Torres
05100,El Hornillo,Ávila,"Hornillo, El"
05102,El Hoyo de Pinares,Ávila,"Hoyo de Pinares, El"
05101,Hoyocasero,Ávila,Hoyocasero
05103,Hoyorredondo,Ávila,Hoyorredondo
05106,Hoyos de Miguel Muñoz,Ávila,Hoyos de Miguel Muñoz
05104,Hoyos del Collado,Ávila,Hoyos del Collado
05105,Hoyos del Espino,Ávila,Hoyos del Espino
05107,Hurtumpascual,Ávila,Hurtumpascual
05108,Junciana,Ávila,Junciana
05109,Langa,Ávila,Langa
05110,Lanzahíta,Ávila,Lanzahíta
05113,Los Llanos de Tormes,Ávila,"Llanos de Tormes, Los"
05112,El Losar del Barco,Ávila,"Losar del Barco, El"
05114,Madrigal de las Altas Torres,Ávila,Madrigal de las Altas Torres
05115,Maello,Ávila,Maello
05116,Malpartida de Corneja,Ávila,Malpartida de Corneja
05117,Mamblas,Ávila,Mamblas
05118,Mancera de Arriba,Ávila,Mancera de Arriba
05119,Manjabálago y Ortigosa de Rioalmar,Ávila,Manjabálago y Ortigosa de Rioalmar
05120,Marlín,Ávila,Marlín
05121,Martiherrero,Ávila,Martiherrero
05122,Martínez,Ávila,Martínez
05123,Mediana de Voltoya,Ávila,Mediana de Voltoya
05124,Medinilla,Ávila,Medinilla
05125,Mengamuñoz,Ávila,Mengamuñoz
05126,Mesegar de Corneja,Ávila,Mesegar de Corneja
05127,Mijares,Ávila,Mijares
05128,Mingorría,Ávila,Mingorría
05129,El Mirón,Ávila,"Mirón, El"
05130,Mironcillo,Ávila,Mironcillo
05131,Mirueña de los Infanzones,Ávila,Mirueña de los Infanzones
05132,Mombeltrán,Ávila,Mombeltrán
05133,Monsalupe,Ávila,Monsalupe
05134,Moraleja de Matacabras,Ávila,Moraleja de Matacabras
05135,Muñana,Ávila,Muñana
05136,Muñico,Ávila,Muñico
05138,Muñogalindo,Ávila,Muñogalindo
05139,Muñogrande,Ávila,Muñogrande
05140,Muñomer del Peco,Ávila,Muñomer del Peco
05141,Muñopepe,Ávila,Muñopepe
05142,Muñosancho,Ávila,Muñosancho
05143,Muñotello,Ávila,Muñotello
05144,Narrillos del Álamo,Ávila,Narrillos del Álamo
05145,Narrillos del Rebollar,Ávila,Narrillos del Rebollar
05149,Narros de Saldueña,Ávila,Narros de Saldueña
05147,Narros del Castillo,Ávila,Narros del Castillo
05148,Narros del Puerto,Ávila,Narros del Puerto
05152,Nava de Arévalo,Ávila,Nava de Arévalo
05153,Nava del Barco,Ávila,Nava del Barco
05151,Navacepedilla de Corneja,Ávila,Navacepedilla de Corneja
05154,Navadijos,Ávila,Navadijos
05155,Navaescurial,Ávila,Navaescurial
05156,Navahondilla,Ávila,Navahondilla
05157,Navalacruz,Ávila,Navalacruz
05158,Navalmoral,Ávila,Navalmoral
05159,Navalonguilla,Ávila,Navalonguilla
05160,Navalosa,Ávila,Navalosa
05161,Navalperal de Pinares,Ávila,Navalperal de Pinares
05162,Navalperal de Tormes,Ávila,Navalperal de Tormes
05163,Navaluenga,Ávila,Navaluenga
05164,Navaquesera,Ávila,Navaquesera
05165,Navarredonda de Gredos,Ávila,Navarredonda de Gredos
05166,Navarredondilla,Ávila,Navarredondilla
05167,Navarrevisca,Ávila,Navarrevisca
05168,Las Navas del Marqués,Ávila,"Navas del Marqués, Las"
05169,Navatalgordo,Ávila,Navatalgordo
05170,Navatejares,Ávila,Navatejares
05171,Neila de San Miguel,Ávila,Neila de San Miguel
05172,Niharra,Ávila,Niharra
05173,Ojos-Albos,Ávila,Ojos-Albos
05174,Orbita,Ávila,Orbita
05175,El Oso,Ávila,"Oso, El"
05176,Padiernos,Ávila,Padiernos
05177,Pajares de Adaja,Ávila,Pajares de Adaja
05178,Palacios de Goda,Ávila,Palacios de Goda
05179,Papatrigo,Ávila,Papatrigo
05180,El Parral,Ávila,"Parral, El"
05181,Pascualcobo,Ávila,Pascualcobo
05182,Pedro Bernardo,Ávila,Pedro Bernardo
05183,Pedro-Rodríguez,Ávila,Pedro-Rodríguez
05184,Peguerinos,Ávila,Peguerinos
05185,Peñalba de Ávila,Ávila,Peñalba de Ávila
05186,Piedrahíta,Ávila,Piedrahíta
05187,Piedralaves,Ávila,Piedralaves
05188,Poveda,Ávila,Poveda
05189,Poyales del Hoyo,Ávila,Poyales del Hoyo
05190,Pozanco,Ávila,Pozanco
05191,Pradosegar,Ávila,Pradosegar
05192,Puerto Castilla,Ávila,Puerto Castilla
05193,Rasueros,Ávila,Rasueros
05194,Riocabado,Ávila,Riocabado
05195,Riofrío,Ávila,Riofrío
05196,Rivilla de Barajas,Ávila,Rivilla de Barajas
05197,Salobral,Ávila,Salobral
05198,Salvadiós,Ávila,Salvadiós
05199,San Bartolomé de Béjar,Ávila,San Bartolomé de Béjar
05200,San Bartolomé de Corneja,Ávila,San Bartolomé de Corneja
05201,San Bartolomé de Pinares,Ávila,San Bartolomé de Pinares
05206,San Esteban de los Patos,Ávila,San Esteban de los Patos
05208,San Esteban de Zapardiel,Ávila,San Esteban de Zapardiel
05207,San Esteban del Valle,Ávila,San Esteban del Valle
05209,San García de Ingelmos,Ávila,San García de Ingelmos
05901,San Juan de Gredos,Ávila,San Juan de Gredos
05210,San Juan de la Encinilla,Ávila,San Juan de la Encinilla
05211,San Juan de la Nava,Ávila,San Juan de la Nava
05212,San Juan del Molinillo,Ávila,San Juan del Molinillo
05213,San Juan del Olmo,Ávila,San Juan del Olmo
05214,San Lorenzo de Tormes,Ávila,San Lorenzo de Tormes
